Name,Type,Stack,Floatable?,Acquisition,Rating
Abigail's Flower,Character-specific Item,—,Yes,Craft it while playing as Wendy,
Air Unfreshener,Trinket,40,Yes,Digging up Graves,
Ancient Key,Misc. Item,—,Yes,Found in Large Ornate Chest,
Appeasing Adornment (Billy),Winter Ornament,40,Yes,Obtained by sleeping under the Winter's Feast Tree,
Appeasing Adornment (Mumsy),Winter Ornament,40,Yes,Obtained by sleeping under the Winter's Feast Tree,
Apple Cider,Food,40,Yes,Dropped by Mobs during Winter's Feast,
Applied Horticulture,Character-specific Item/Book,—,Yes,Craft it while playing as Wickerbottom,
Ashes,Crafting Item,40,No,"Dropped by burning plants where they stand or other flammable items, appears when a normal Campfire goes out, and dropped by Red Hounds",
Asparagazpacho,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Asparagus,Food,40,Yes,Farming,
Asparagus Soup,Crock Pot Recipe,40,Yes,Crock Pot Food,
Axe,Tool/Weapon,—,Yes,Crafting,
Azure Feather,Crafting Item,40,Yes,Dropped by Snowbird,
Backpack,Bag/Survival Item,—,Yes,Crafting,
Back Scratcher,Trinket,40,Yes,Digging up Graves,
Bacon and Eggs,Crock Pot Recipe,40,Yes,Crock Pot Recipe,
Ball and Cup,Trinket,40,Yes,Digging up Graves,
Banana Pop,Crock Pot Recipe,40,Yes,Crock Pot Food,
Bat Bat,Melee Weapon,—,Yes,Crafting,
Bat Decoration,Halloween Decoration,40,Yes,Obtained during Hallowed Nights,
Batilisk Wing,Food/Crafting Item,20,Yes,Dropped by Batilisk,
Battle Helm,Character-specific Item/Hat/Armor,—,Yes,Craft it while playing as Wigfrid,
Battle Spear,Character-specific Item/Melee Weapon,—,Yes,Craft it while playing as Wigfrid,
Black Bishop,Trinket,40,Yes,Dropped by Antlion or found in Crumpled Package,
Beard Hair,Crafting Item,40,Yes,"Shaving Wilson's Beard or dropped by Beardlings, Beardlords and Shadow Splumonkeys",
Beardling,Mob,—,No,Caught with a Trap while Sanity is below 40%,
Beaten Beater,Trinket,40,Yes,Digging up Graves,
Bee,Mob,20,Yes,Caught with a Bug Net,
Beefalo Hat,Hat/Dress Item,—,Yes,Crafting,
Beefalo Horn,Crafting Item/Tool,—,Yes,Dropped by Beefalo,
Beefalo Wool,Crafting Item,40,Yes,"Dropped by Beefalo, or shaving a Beefalo with a Razor",
Beekeeper Hat,Hat/Armor/Dress Item,—,Yes,Crafting,
Bee Mine,Trap/Weapon,—,No,Crafting,
Bee Queen Crown,Hat/Armor,—,Yes,Dropped by Bee Queen,
Beeswax,Crafting item,40,No,Crafting,
Belt of Hunger,Dress Item,—,Yes,Crafting,
Bent Spork,Trinket,40,Yes,Digging up Graves,
Bernie,Character-specific Item/Survival Item/Mob,—,No,Craft it while playing as Willow,
Berries,Food,40,Yes,Picking Berry Bushes,
Berry Bush,Plantable,10,Yes,Dug up by Shovel,
Binoculars,Trinket,40,Yes,Obtained during Hallowed Nights,
Birchnut,Food/Plantable,40,Yes,Chopping down Birchnut Trees or dropped by Birchnutter,
Birds of the World,Character-specific Item/Book,—,Yes,Craft it while playing as Wickerbottom,
Bird Trap,Survival Item/Trap,—,Yes,Crafting,
Black Bishop,Trinket,40,Yes,Digging up Graves,
Black Knight,Trinket,40,Yes,Digging up Graves,
Black Rook,Trinket,40,Yes,Digging up Graves,
Blue Cap,Food,40,Yes,"Dropped by Toadstool, picking a Blue Mushroom or chopping down Blue Mushtrees",
Blow Dart,Weapon,20,Yes,Crafting and dropped by MacTusk,
Blue Funcap,Hat/Dress Item,—,Yes,Crafting,
Blue Gem,Crafting Item,40,Yes,"Dropped by Blue Hound and blue Gem Deer, found in Caves and Ruins, and can be dug up in Graves. This may fall from cave roof during Earthquakes",
Blue Moonlens,Misc. Item,—,Yes,Placing a Blue Gem in a Cratered Moonrock,
Blueprint,Misc. Item,—,Yes,Can be found in Set Pieces,
Blue Spore,Plantable,20,Yes,Caught with a Bug Net,
Boards,Crafting Item,10,Yes,Crafting,
Bone Armor,Hat/Armor,—,Yes,Dropped by Ancient Fuelweaver,
Bone Bouillon,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Bone Helm,Hat/Armor,—,Yes,Dropped by Ancient Fuelweaver,
Bone Shards,Crafting Item,20,Yes,"Destroying Skeletons or Bones using a Hammer, putting a Deer Antler in a Loot Stash and dropped by Hound Mounds and horned No-Eyed Deer",
Boomerang,Weapon,—,Yes,Crafting,
Booster Shot,Survival Item,40,Yes,Crafting,
Braised Eggplant,Food,40,Yes,Cooking,
Breezy Vest,Dress Item,—,Yes,Crafting,
Brew of Phobic Abatement,Misc. Item,20,Yes,Craft it during Hallowed Nights,
Brew of Phobic Abrogation,Misc. Item,20,Yes,Craft it during Hallowed Nights,
Broken Hairdryer,Trinket,40,Yes,Obtained during Hallowed Nights,
Broken Shell,Crafting Item,40,No,"Dropped by Slurtles, Slurtle Mounds and Snurtles",
Broken Stake,Trinket,40,Yes,Obtained during Hallowed Nights,
Brush,Tool,—,Yes,Crafting,
Bucket-o-poop,Fertilizer,-,Yes,Crafting,
Bug Net,Tool/Weapon/Survival Item,—,Yes,Crafting,
Bundled Supplies,Survival Item,—,No,Storing items in a Bundling Wrap,
Bundling Wrap,Survival Item,20,No,Crafting,
Bunny Puff,Crafting Item,40,Yes,Dropped by Bunnymen,
Bush Hat,Hat/Dress Item,—,Yes,Crafting,
Butter,Food,40,Yes,Rarely dropped by Butterfly,
Butter Muffin,Crock Pot Recipe,40,Yes,Crock Pot Food,
Butterfly,Mob/Plantable,20,Yes,Caught with a Bug Net,
Butterfly Wings,Food,40,Yes,Dropped by Butterfly,
Cactus Flesh,Food,40,Yes,Picking Cacti,
Cactus Flower,Food,40,Yes,Picking Cacti during Summer,
Candy Apple,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Candy Bag,Bag/Survival Item,—,Yes,Craft it during Hallowed Nights,
Candy Cane,Food/Winter Ornament,40,Yes,Dropped by Mobs during Winter's Feast,
Candy Corn,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Candy Lice,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Canteen of Sanguine Mixture,Healing Item,20,Yes,Craft it during Hallowed Nights,
Carpeted Flooring,Turf,10,Yes,Crafting,
Carrot,Food,20,Yes,"Farming, and dropped by Bunnyman",
Carrot Seeds,Crop Seeds/Food/Plantable,20,Yes,Feeding a bird in a Bird Cage,
Cat Cap,Hat/Dress Item,—,Yes,Crafting,
Catcoon Candy,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Cat Tail,Crafting Item,20,Yes,Dropped by Catcoon,
Cave Banana,Food,40,Yes,Harvesting Cave Banana Trees or destroying a Splumonkey Pod,
Cave Rock Turf,Turf,10,Yes,Dig it up in the caves using a Pitchfork,
Ceviche,Crock Pot Recipe,40,Yes,Crock Pot Food,
Champion Adornment (Grand Forge Boarrior),Winter Ornament,40,Yes,Dropped by Bosses during Winter's Feast,
Champion Adornment (Infernal Swineclops),Winter Ornament,40,Yes,Dropped by Bosses during Winter's Feast,
Champion Adornment (Rhinocebros),Winter Ornament,40,Yes,Dropped by Bosses during Winter's Feast,
Charcoal,Fuel,40,Yes,Dropped by Krampus and Klaus and chopping down burnt Trees,
Checkerboard Flooring,Turf,10,Yes,Crafting,
Chef Pouch,Character-specific Item/Bag/Survival Item,—,No,Crafting,
Chili Flakes,Character-specific Item,40,Yes,Crafting,
Chilled Amulet,Amulet,—,Yes,Crafting,
Chilled Lavae,Dragonfly Young,—,Yes,Dropped by frozen Extra-Adorable Lavae,
Chocolate Log Cake,Food/Winter Ornament,40,Yes,Dropped by Mobs during Winter's Feast,
Choco Pigs,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Cobblestones,Turf,10,Yes,Crafting,
Codex Umbra,Character-specific Item/Book,—,Yes,Craft it while playing as Maxwell,
Construction Amulet,Amulet,—,Yes,Crafting,
Cooked Asparagus,Food,40,Yes,Cooking,
Cooked Batilisk Wing,Food,20,Yes,Cooking,
Cooked Blue Cap,Food,40,Yes,Cooking,
Cooked Cactus Flesh,Food,40,Yes,Cooking,
Cooked Cave Banana,Food,40,Yes,Cooking,
Cooked Egg,Food,40,Yes,Cooking,
Cooked Eel,Food,40,Yes,Cooking,
Cooked Fish,Food,40,Yes,Cooking,
Cooked Frog Legs,Food,40,Yes,Cooking,
Cooked Green Cap,Food,40,Yes,Cooking,
Cooked Leafy Meat,Food,20,Yes,Cooking,
Cooked Mandrake,Food,40,Yes,Cooking,
Cooked Meat,Food,20,Yes,Cooking,
Cooked Monster Meat,Food,20,Yes,Cooking,
Cooked Morsel,Food,40,Yes,Cooking,
Cooked Red Cap,Food,40,Yes,Cooking,
Compass,Misc. Item,—,Yes,Crafting,
Corn,Food,20,Yes,Farming,
Corn Seeds,Crop Seeds/Food/Plantable,20,Yes,Feeding a bird in a Bird Cage,
Cratered Moonrock,Misc. Item,—,No,Crafting,
Creamy Potato Purée,Crock Pot Recipe,40,Yes,Crock Pot Food,
Crimson Feather,Crafting Item,40,Yes,Dropped by Redbird,
